class,directoryname,directorypath,numclips
Normal,Normal_001,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_001,34
Normal,Normal_004,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_004,57
Normal,Normal_007,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_007,61
Normal,Normal_008,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_008,160
Normal,Normal_012,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_012,146
Normal,Normal_015,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_015,30
Normal,Normal_017,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_017,53
Normal,Normal_020,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_020,30
Normal,Normal_021,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_021,122
Normal,Normal_023,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_023,110
Normal,Normal_026,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_026,170
Normal,Normal_028,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_028,180
Normal,Normal_032,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_032,52
Normal,Normal_035,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_035,180
Normal,Normal_037,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_037,28
Normal,Normal_038,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_038,180
Normal,Normal_039,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_039,112
Normal,Normal_043,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_043,108
Normal,Normal_046,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_046,180
Normal,Normal_047,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_047,180
Normal,Normal_049,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_049,180
Normal,Normal_052,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_052,20
Normal,Normal_054,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_054,123
Normal,Normal_057,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_057,180
Normal,Normal_058,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_058,61
Normal,Normal_061,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_061,180
Normal,Normal_064,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_064,123
Normal,Normal_066,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_066,63
Normal,Normal_069,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_069,57
Normal,Normal_080,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_080,124
Normal,Normal_083,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_083,36
Normal,Normal_085,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_085,180
Normal,Normal_086,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_086,180
Normal,Normal_092,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_092,112
Normal,Normal_096,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_096,48
Normal,Normal_099,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_099,129
Normal,Normal_100,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_100,39
Normal,Normal_109,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_109,107
Normal,Normal_112,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_112,51
Normal,Normal_115,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_115,18
Normal,Normal_123,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_123,180
Normal,Normal_127,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_127,111
Normal,Normal_130,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_130,180
Normal,Normal_135,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_135,111
Normal,Normal_142,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_142,116
Normal,Normal_143,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_143,111
Normal,Normal_144,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_144,180
Normal,Normal_145,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_145,180
Normal,Normal_146,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_146,51
Normal,Normal_150,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_150,54
Normal,Normal_151,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_151,180
Normal,Normal_152,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_152,180
Normal,Normal_157,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_157,12
Normal,Normal_158,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_158,33
Normal,Normal_160,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_160,180
Normal,Normal_162,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_162,73
Normal,Normal_163,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_163,180
Normal,Normal_166,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_166,100
Normal,Normal_167,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_167,98
Normal,Normal_172,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_172,180
Normal,Normal_173,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_173,37
Normal,Normal_174,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_174,57
Normal,Normal_177,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_177,180
Normal,Normal_180,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_180,180
Normal,Normal_181,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_181,180
Normal,Normal_199,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_199,180
Normal,Normal_201,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_201,178
Normal,Normal_205,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_205,180
Normal,Normal_206,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_206,180
Normal,Normal_207,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_207,163
Normal,Normal_209,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_209,39
Normal,Normal_211,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_211,180
Normal,Normal_213,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_213,111
Normal,Normal_214,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_214,180
