number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
0,0.4622267633676529,2025-11-16 00:21:26.189933,2025-11-16 00:21:37.053629,0 days 00:00:10.863696,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,COMPLETE
1,0.48013001680374146,2025-11-16 00:21:37.053629,2025-11-16 00:21:55.001848,0 days 00:00:17.948219,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,COMPLETE
2,0.36460783580938977,2025-11-16 00:21:55.001848,2025-11-16 00:22:07.679089,0 days 00:00:12.677241,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,COMPLETE
3,0.4840700427691142,2025-11-16 00:22:07.679089,2025-11-16 00:22:17.687580,0 days 00:00:10.008491,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,COMPLETE
4,0.40931662917137146,2025-11-16 00:22:17.687580,2025-11-16 00:22:35.435788,0 days 00:00:17.748208,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,COMPLETE
5,0.4165249814589818,2025-11-16 00:22:35.435788,2025-11-16 00:23:34.755432,0 days 00:00:59.319644,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,COMPLETE
6,0.6647983988126119,2025-11-16 00:23:34.755432,2025-11-16 00:23:40.907343,0 days 00:00:06.151911,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,PRUNED
7,1.668702244758606,2025-11-16 00:23:40.907343,2025-11-16 00:23:46.945728,0 days 00:00:06.038385,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,PRUNED
8,0.6872984419266382,2025-11-16 00:23:46.945728,2025-11-16 00:23:48.680578,0 days 00:00:01.734850,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,PRUNED
9,0.4780508130788803,2025-11-16 00:23:48.680578,2025-11-16 00:23:55.623210,0 days 00:00:06.942632,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,COMPLETE
10,0.6021360158920288,2025-11-16 00:23:55.623210,2025-11-16 00:23:57.020788,0 days 00:00:01.397578,64,False,0.4778751436886507,128,0.0005126065261429245,3,1.0699098455538697e-05,PRUNED
11,0.4687788635492325,2025-11-16 00:23:57.020788,2025-11-16 00:24:08.280225,0 days 00:00:11.259437,32,True,0.4930050926115691,128,0.0006331282959056332,3,8.884350662101263e-05,COMPLETE
12,0.7031492590904236,2025-11-16 00:24:08.280225,2025-11-16 00:24:22.585191,0 days 00:00:14.304966,16,True,0.4535047691582048,256,0.0006316703900433905,3,2.7019174827601137e-05,PRUNED
13,0.43215814232826233,2025-11-16 00:24:22.585191,2025-11-16 00:24:31.526214,0 days 00:00:08.941023,32,True,0.3130612935272402,128,0.0010564615151250837,2,0.0001632552758201316,COMPLETE
14,0.3418978154659271,2025-11-16 00:24:31.526214,2025-11-16 00:24:51.166113,0 days 00:00:19.639899,64,True,0.5375920406844779,256,0.0006742969666459738,2,6.146387720867617e-05,COMPLETE
15,0.5905882120132446,2025-11-16 00:24:51.166113,2025-11-16 00:24:52.383976,0 days 00:00:01.217863,64,True,0.5079155864823983,64,0.0005212821849786051,2,2.680244971052355e-05,PRUNED
16,0.33332589268684387,2025-11-16 00:24:52.383976,2025-11-16 00:25:02.558981,0 days 00:00:10.175005,64,True,0.4234340427150078,128,0.0006196326254779222,3,1.0811165348162227e-05,COMPLETE
17,0.35448092222213745,2025-11-16 00:25:02.558981,2025-11-16 00:25:22.129792,0 days 00:00:19.570811,64,True,0.5311149037830162,256,0.0006084322301520073,2,0.0009006020499939699,COMPLETE
18,0.7320964336395264,2025-11-16 00:25:22.129792,2025-11-16 00:25:23.373940,0 days 00:00:01.244148,64,False,0.44286939883579335,128,0.0006061334663979968,3,5.7619640046374934e-05,PRUNED
19,0.41810375452041626,2025-11-16 00:25:23.375943,2025-11-16 00:25:43.243105,0 days 00:00:19.867162,64,True,0.5397197148219836,256,0.0009428772955309901,2,1.0413829949978629e-05,COMPLETE
20,0.5080514550209045,2025-11-16 00:25:43.243105,2025-11-16 00:25:50.198971,0 days 00:00:06.955866,64,True,0.342581425170343,64,0.0012618889016637873,3,3.1913087015503734e-05,COMPLETE
21,0.3158112168312073,2025-11-16 00:25:50.198971,2025-11-16 00:26:09.931755,0 days 00:00:19.732784,64,True,0.537968045644633,256,0.0006120025322957049,2,0.0008445624327058958,COMPLETE
22,0.4170471429824829,2025-11-16 00:26:09.933001,2025-11-16 00:26:29.566890,0 days 00:00:19.633889,64,True,0.5535132094841689,256,0.0006854259003195609,2,8.078320352814233e-05,COMPLETE
23,0.3460550010204315,2025-11-16 00:26:29.568651,2025-11-16 00:26:49.481905,0 days 00:00:19.913254,64,True,0.43225334914075986,256,0.0005560674322754461,2,0.00019056136303219836,COMPLETE
24,0.2971805930137634,2025-11-16 00:26:49.481905,2025-11-16 00:27:09.201874,0 days 00:00:19.719969,64,True,0.5087041784014782,256,0.0006670709125109117,2,0.0005601486345957133,COMPLETE
25,0.4551151394844055,2025-11-16 00:27:09.201874,2025-11-16 00:27:17.081867,0 days 00:00:07.879993,64,True,0.4774120353177244,128,0.0005708126281445647,2,0.0005417301436025675,COMPLETE
26,0.612209677696228,2025-11-16 00:27:17.088056,2025-11-16 00:27:20.044242,0 days 00:00:02.956186,64,False,0.5107020402491057,256,0.0007084283599932123,3,0.0008724882959588342,PRUNED
