class,directoryname,directorypath,numclips,split
Robbery,Robbery_001,data/interim/clips_original_08_undersample/Robbery/Robbery_001,122,train
Robbery,Robbery_002,data/interim/clips_original_08_undersample/Robbery/Robbery_002,180,train
Robbery,Robbery_003,data/interim/clips_original_08_undersample/Robbery/Robbery_003,122,train
Robbery,Robbery_004,data/interim/clips_original_08_undersample/Robbery/Robbery_004,180,train
Robbery,Robbery_005,data/interim/clips_original_08_undersample/Robbery/Robbery_005,180,val
Robbery,Robbery_006,data/interim/clips_original_08_undersample/Robbery/Robbery_006,180,test
Robbery,Robbery_007,data/interim/clips_original_08_undersample/Robbery/Robbery_007,180,train
Robbery,Robbery_008,data/interim/clips_original_08_undersample/Robbery/Robbery_008,180,train
Robbery,Robbery_009,data/interim/clips_original_08_undersample/Robbery/Robbery_009,180,train
Robbery,Robbery_010,data/interim/clips_original_08_undersample/Robbery/Robbery_010,180,val
Robbery,Robbery_011,data/interim/clips_original_08_undersample/Robbery/Robbery_011,161,train
Robbery,Robbery_012,data/interim/clips_original_08_undersample/Robbery/Robbery_012,92,train
Robbery,Robbery_013,data/interim/clips_original_08_undersample/Robbery/Robbery_013,180,test
Robbery,Robbery_014,data/interim/clips_original_08_undersample/Robbery/Robbery_014,180,train
Robbery,Robbery_015,data/interim/clips_original_08_undersample/Robbery/Robbery_015,180,test
Robbery,Robbery_016,data/interim/clips_original_08_undersample/Robbery/Robbery_016,180,train
Robbery,Robbery_017,data/interim/clips_original_08_undersample/Robbery/Robbery_017,180,val
Robbery,Robbery_018,data/interim/clips_original_08_undersample/Robbery/Robbery_018,180,train
Robbery,Robbery_019,data/interim/clips_original_08_undersample/Robbery/Robbery_019,180,train
Robbery,Robbery_020,data/interim/clips_original_08_undersample/Robbery/Robbery_020,180,train
Robbery,Robbery_021,data/interim/clips_original_08_undersample/Robbery/Robbery_021,180,train
Robbery,Robbery_022,data/interim/clips_original_08_undersample/Robbery/Robbery_022,180,train
Robbery,Robbery_023,data/interim/clips_original_08_undersample/Robbery/Robbery_023,137,test
Robbery,Robbery_024,data/interim/clips_original_08_undersample/Robbery/Robbery_024,180,train
Robbery,Robbery_025,data/interim/clips_original_08_undersample/Robbery/Robbery_025,180,train
Robbery,Robbery_026,data/interim/clips_original_08_undersample/Robbery/Robbery_026,180,val
Robbery,Robbery_027,data/interim/clips_original_08_undersample/Robbery/Robbery_027,180,train
Robbery,Robbery_028,data/interim/clips_original_08_undersample/Robbery/Robbery_028,180,test
Robbery,Robbery_030,data/interim/clips_original_08_undersample/Robbery/Robbery_030,180,test
Robbery,Robbery_033,data/interim/clips_original_08_undersample/Robbery/Robbery_033,117,test
Robbery,Robbery_034,data/interim/clips_original_08_undersample/Robbery/Robbery_034,180,train
Robbery,Robbery_035,data/interim/clips_original_08_undersample/Robbery/Robbery_035,180,test
Robbery,Robbery_036,data/interim/clips_original_08_undersample/Robbery/Robbery_036,180,train
Robbery,Robbery_037,data/interim/clips_original_08_undersample/Robbery/Robbery_037,180,train
Robbery,Robbery_039,data/interim/clips_original_08_undersample/Robbery/Robbery_039,64,val
Robbery,Robbery_040,data/interim/clips_original_08_undersample/Robbery/Robbery_040,129,test
Robbery,Robbery_041,data/interim/clips_original_08_undersample/Robbery/Robbery_041,169,train
Robbery,Robbery_042,data/interim/clips_original_08_undersample/Robbery/Robbery_042,180,train
Robbery,Robbery_043,data/interim/clips_original_08_undersample/Robbery/Robbery_043,128,val
Robbery,Robbery_044,data/interim/clips_original_08_undersample/Robbery/Robbery_044,57,train
Robbery,Robbery_045,data/interim/clips_original_08_undersample/Robbery/Robbery_045,180,train
Robbery,Robbery_046,data/interim/clips_original_08_undersample/Robbery/Robbery_046,105,test
Robbery,Robbery_047,data/interim/clips_original_08_undersample/Robbery/Robbery_047,180,test
Robbery,Robbery_048,data/interim/clips_original_08_undersample/Robbery/Robbery_048,175,test
Robbery,Robbery_049,data/interim/clips_original_08_undersample/Robbery/Robbery_049,180,test
Robbery,Robbery_051,data/interim/clips_original_08_undersample/Robbery/Robbery_051,180,val
Robbery,Robbery_054,data/interim/clips_original_08_undersample/Robbery/Robbery_054,180,val
Robbery,Robbery_055,data/interim/clips_original_08_undersample/Robbery/Robbery_055,180,train
Robbery,Robbery_056,data/interim/clips_original_08_undersample/Robbery/Robbery_056,180,train
Robbery,Robbery_057,data/interim/clips_original_08_undersample/Robbery/Robbery_057,180,train
Robbery,Robbery_058,data/interim/clips_original_08_undersample/Robbery/Robbery_058,180,train
Robbery,Robbery_059,data/interim/clips_original_08_undersample/Robbery/Robbery_059,180,train
Robbery,Robbery_060,data/interim/clips_original_08_undersample/Robbery/Robbery_060,180,train
Robbery,Robbery_061,data/interim/clips_original_08_undersample/Robbery/Robbery_061,180,train
Robbery,Robbery_062,data/interim/clips_original_08_undersample/Robbery/Robbery_062,180,train
Robbery,Robbery_064,data/interim/clips_original_08_undersample/Robbery/Robbery_064,176,val
Robbery,Robbery_065,data/interim/clips_original_08_undersample/Robbery/Robbery_065,180,test
Robbery,Robbery_066,data/interim/clips_original_08_undersample/Robbery/Robbery_066,180,val
Robbery,Robbery_067,data/interim/clips_original_08_undersample/Robbery/Robbery_067,180,test
Robbery,Robbery_068,data/interim/clips_original_08_undersample/Robbery/Robbery_068,48,train
Robbery,Robbery_069,data/interim/clips_original_08_undersample/Robbery/Robbery_069,85,train
Robbery,Robbery_070,data/interim/clips_original_08_undersample/Robbery/Robbery_070,72,test
Robbery,Robbery_071,data/interim/clips_original_08_undersample/Robbery/Robbery_071,180,train
Robbery,Robbery_073,data/interim/clips_original_08_undersample/Robbery/Robbery_073,180,train
Robbery,Robbery_074,data/interim/clips_original_08_undersample/Robbery/Robbery_074,97,train
Robbery,Robbery_075,data/interim/clips_original_08_undersample/Robbery/Robbery_075,180,test
Robbery,Robbery_077,data/interim/clips_original_08_undersample/Robbery/Robbery_077,141,val
Robbery,Robbery_079,data/interim/clips_original_08_undersample/Robbery/Robbery_079,92,val
Robbery,Robbery_081,data/interim/clips_original_08_undersample/Robbery/Robbery_081,180,val
Robbery,Robbery_083,data/interim/clips_original_08_undersample/Robbery/Robbery_083,119,train
Robbery,Robbery_084,data/interim/clips_original_08_undersample/Robbery/Robbery_084,180,test
Robbery,Robbery_085,data/interim/clips_original_08_undersample/Robbery/Robbery_085,180,train
Robbery,Robbery_086,data/interim/clips_original_08_undersample/Robbery/Robbery_086,180,train
Robbery,Robbery_087,data/interim/clips_original_08_undersample/Robbery/Robbery_087,124,val
Robbery,Robbery_088,data/interim/clips_original_08_undersample/Robbery/Robbery_088,180,train
Robbery,Robbery_090,data/interim/clips_original_08_undersample/Robbery/Robbery_090,180,train
Robbery,Robbery_091,data/interim/clips_original_08_undersample/Robbery/Robbery_091,180,train
Robbery,Robbery_092,data/interim/clips_original_08_undersample/Robbery/Robbery_092,105,train
Robbery,Robbery_093,data/interim/clips_original_08_undersample/Robbery/Robbery_093,145,train
Robbery,Robbery_094,data/interim/clips_original_08_undersample/Robbery/Robbery_094,180,train
Robbery,Robbery_097,data/interim/clips_original_08_undersample/Robbery/Robbery_097,180,train
Robbery,Robbery_098,data/interim/clips_original_08_undersample/Robbery/Robbery_098,180,val
Robbery,Robbery_099,data/interim/clips_original_08_undersample/Robbery/Robbery_099,180,val
Robbery,Robbery_100,data/interim/clips_original_08_undersample/Robbery/Robbery_100,180,test
Robbery,Robbery_101,data/interim/clips_original_08_undersample/Robbery/Robbery_101,180,train
Robbery,Robbery_103,data/interim/clips_original_08_undersample/Robbery/Robbery_103,180,test
Robbery,Robbery_105,data/interim/clips_original_08_undersample/Robbery/Robbery_105,180,train
Robbery,Robbery_108,data/interim/clips_original_08_undersample/Robbery/Robbery_108,171,train
Robbery,Robbery_109,data/interim/clips_original_08_undersample/Robbery/Robbery_109,180,train
Robbery,Robbery_110,data/interim/clips_original_08_undersample/Robbery/Robbery_110,180,train
Robbery,Robbery_111,data/interim/clips_original_08_undersample/Robbery/Robbery_111,180,train
Robbery,Robbery_113,data/interim/clips_original_08_undersample/Robbery/Robbery_113,100,train
Robbery,Robbery_114,data/interim/clips_original_08_undersample/Robbery/Robbery_114,180,train
Robbery,Robbery_115,data/interim/clips_original_08_undersample/Robbery/Robbery_115,180,train
Robbery,Robbery_116,data/interim/clips_original_08_undersample/Robbery/Robbery_116,55,train
Robbery,Robbery_117,data/interim/clips_original_08_undersample/Robbery/Robbery_117,180,val
Robbery,Robbery_119,data/interim/clips_original_08_undersample/Robbery/Robbery_119,180,train
Robbery,Robbery_120,data/interim/clips_original_08_undersample/Robbery/Robbery_120,119,val
Robbery,Robbery_121,data/interim/clips_original_08_undersample/Robbery/Robbery_121,174,train
Robbery,Robbery_122,data/interim/clips_original_08_undersample/Robbery/Robbery_122,127,train
Robbery,Robbery_123,data/interim/clips_original_08_undersample/Robbery/Robbery_123,134,val
Robbery,Robbery_124,data/interim/clips_original_08_undersample/Robbery/Robbery_124,180,train
Robbery,Robbery_125,data/interim/clips_original_08_undersample/Robbery/Robbery_125,180,test
Robbery,Robbery_126,data/interim/clips_original_08_undersample/Robbery/Robbery_126,180,train
Robbery,Robbery_127,data/interim/clips_original_08_undersample/Robbery/Robbery_127,156,train
Robbery,Robbery_128,data/interim/clips_original_08_undersample/Robbery/Robbery_128,180,test
Robbery,Robbery_129,data/interim/clips_original_08_undersample/Robbery/Robbery_129,180,train
Robbery,Robbery_130,data/interim/clips_original_08_undersample/Robbery/Robbery_130,180,train
Robbery,Robbery_131,data/interim/clips_original_08_undersample/Robbery/Robbery_131,180,test
Robbery,Robbery_132,data/interim/clips_original_08_undersample/Robbery/Robbery_132,81,train
Robbery,Robbery_133,data/interim/clips_original_08_undersample/Robbery/Robbery_133,180,train
Robbery,Robbery_134,data/interim/clips_original_08_undersample/Robbery/Robbery_134,77,train
Robbery,Robbery_135,data/interim/clips_original_08_undersample/Robbery/Robbery_135,180,test
Robbery,Robbery_136,data/interim/clips_original_08_undersample/Robbery/Robbery_136,137,val
Robbery,Robbery_137,data/interim/clips_original_08_undersample/Robbery/Robbery_137,180,test
Robbery,Robbery_138,data/interim/clips_original_08_undersample/Robbery/Robbery_138,76,train
Robbery,Robbery_139,data/interim/clips_original_08_undersample/Robbery/Robbery_139,121,train
Robbery,Robbery_140,data/interim/clips_original_08_undersample/Robbery/Robbery_140,132,train
Robbery,Robbery_141,data/interim/clips_original_08_undersample/Robbery/Robbery_141,180,train
Robbery,Robbery_142,data/interim/clips_original_08_undersample/Robbery/Robbery_142,180,train
Robbery,Robbery_143,data/interim/clips_original_08_undersample/Robbery/Robbery_143,95,train
Robbery,Robbery_144,data/interim/clips_original_08_undersample/Robbery/Robbery_144,99,train
Robbery,Robbery_145,data/interim/clips_original_08_undersample/Robbery/Robbery_145,166,train
Robbery,Robbery_146,data/interim/clips_original_08_undersample/Robbery/Robbery_146,180,train
Robbery,Robbery_147,data/interim/clips_original_08_undersample/Robbery/Robbery_147,108,train
Robbery,Robbery_149,data/interim/clips_original_08_undersample/Robbery/Robbery_149,156,train
Normal,Normal_726,data/interim/clips_original_08_undersample/Normal/Normal_726,180,train
Normal,Normal_130,data/interim/clips_original_08_undersample/Normal/Normal_130,180,test
Normal,Normal_007,data/interim/clips_original_08_undersample/Normal/Normal_007,122,train
Normal,Normal_670,data/interim/clips_original_08_undersample/Normal/Normal_670,180,val
Normal,Normal_722,data/interim/clips_original_08_undersample/Normal/Normal_722,180,val
Normal,Normal_032,data/interim/clips_original_08_undersample/Normal/Normal_032,103,train
Normal,Normal_247,data/interim/clips_original_08_undersample/Normal/Normal_247,180,train
Normal,Normal_035,data/interim/clips_original_08_undersample/Normal/Normal_035,180,train
Normal,Normal_452,data/interim/clips_original_08_undersample/Normal/Normal_452,54,train
Normal,Normal_207,data/interim/clips_original_08_undersample/Normal/Normal_207,180,val
Normal,Normal_008,data/interim/clips_original_08_undersample/Normal/Normal_008,180,train
Normal,Normal_855,data/interim/clips_original_08_undersample/Normal/Normal_855,180,train
Normal,Normal_083,data/interim/clips_original_08_undersample/Normal/Normal_083,72,train
Normal,Normal_694,data/interim/clips_original_08_undersample/Normal/Normal_694,180,train
Normal,Normal_707,data/interim/clips_original_08_undersample/Normal/Normal_707,180,test
Normal,Normal_038,data/interim/clips_original_08_undersample/Normal/Normal_038,180,train
Normal,Normal_678,data/interim/clips_original_08_undersample/Normal/Normal_678,180,train
Normal,Normal_100,data/interim/clips_original_08_undersample/Normal/Normal_100,77,train
Normal,Normal_508,data/interim/clips_original_08_undersample/Normal/Normal_508,176,train
Normal,Normal_142,data/interim/clips_original_08_undersample/Normal/Normal_142,180,train
Normal,Normal_015,data/interim/clips_original_08_undersample/Normal/Normal_015,59,test
Normal,Normal_158,data/interim/clips_original_08_undersample/Normal/Normal_158,66,test
Normal,Normal_353,data/interim/clips_original_08_undersample/Normal/Normal_353,149,val
Normal,Normal_253,data/interim/clips_original_08_undersample/Normal/Normal_253,63,train
Normal,Normal_181,data/interim/clips_original_08_undersample/Normal/Normal_181,180,train
Normal,Normal_214,data/interim/clips_original_08_undersample/Normal/Normal_214,180,train
Normal,Normal_109,data/interim/clips_original_08_undersample/Normal/Normal_109,180,train
Normal,Normal_455,data/interim/clips_original_08_undersample/Normal/Normal_455,70,train
Normal,Normal_460,data/interim/clips_original_08_undersample/Normal/Normal_460,180,val
Normal,Normal_417,data/interim/clips_original_08_undersample/Normal/Normal_417,133,train
Normal,Normal_681,data/interim/clips_original_08_undersample/Normal/Normal_681,180,train
Normal,Normal_201,data/interim/clips_original_08_undersample/Normal/Normal_201,180,val
Normal,Normal_456,data/interim/clips_original_08_undersample/Normal/Normal_456,180,train
Normal,Normal_619,data/interim/clips_original_08_undersample/Normal/Normal_619,180,train
Normal,Normal_086,data/interim/clips_original_08_undersample/Normal/Normal_086,180,train
Normal,Normal_157,data/interim/clips_original_08_undersample/Normal/Normal_157,24,train
Normal,Normal_945,data/interim/clips_original_08_undersample/Normal/Normal_945,180,train
Normal,Normal_585,data/interim/clips_original_08_undersample/Normal/Normal_585,180,test
Normal,Normal_026,data/interim/clips_original_08_undersample/Normal/Normal_026,180,train
Normal,Normal_173,data/interim/clips_original_08_undersample/Normal/Normal_173,74,train
Normal,Normal_303,data/interim/clips_original_08_undersample/Normal/Normal_303,180,train
Normal,Normal_457,data/interim/clips_original_08_undersample/Normal/Normal_457,180,test
Normal,Normal_411,data/interim/clips_original_08_undersample/Normal/Normal_411,114,train
Normal,Normal_350,data/interim/clips_original_08_undersample/Normal/Normal_350,180,train
Normal,Normal_946,data/interim/clips_original_08_undersample/Normal/Normal_946,180,val
Normal,Normal_402,data/interim/clips_original_08_undersample/Normal/Normal_402,71,train
Normal,Normal_570,data/interim/clips_original_08_undersample/Normal/Normal_570,104,val
Normal,Normal_349,data/interim/clips_original_08_undersample/Normal/Normal_349,180,val
Normal,Normal_317,data/interim/clips_original_08_undersample/Normal/Normal_317,115,test
Normal,Normal_174,data/interim/clips_original_08_undersample/Normal/Normal_174,114,train
Normal,Normal_001,data/interim/clips_original_08_undersample/Normal/Normal_001,67,val
Normal,Normal_885,data/interim/clips_original_08_undersample/Normal/Normal_885,58,train
Normal,Normal_039,data/interim/clips_original_08_undersample/Normal/Normal_039,180,test
Normal,Normal_239,data/interim/clips_original_08_undersample/Normal/Normal_239,180,val
Normal,Normal_498,data/interim/clips_original_08_undersample/Normal/Normal_498,180,train
