number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,user_attrs_seed,state
0,0.6342872679233551,2026-03-10 14:31:59.263671,2026-03-10 14:32:13.919772,0 days 00:00:14.656101,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.8161290322580645,42,COMPLETE
1,0.63002710044384,2026-03-10 14:32:13.921775,2026-03-10 14:32:21.731515,0 days 00:00:07.809740,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.8274193548387098,43,COMPLETE
2,0.6598343476653099,2026-03-10 14:32:21.741399,2026-03-10 14:32:31.589481,0 days 00:00:09.848082,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.8338709677419355,44,COMPLETE
3,0.6141143441200256,2026-03-10 14:32:31.589481,2026-03-10 14:32:40.747145,0 days 00:00:09.157664,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.8032258064516129,45,COMPLETE
4,0.6001926511526108,2026-03-10 14:32:40.747145,2026-03-10 14:32:49.763884,0 days 00:00:09.016739,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.8387096774193549,46,COMPLETE
5,0.6047963015735149,2026-03-10 14:32:49.763884,2026-03-10 14:33:08.463277,0 days 00:00:18.699393,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.7532258064516129,47,COMPLETE
6,0.6669039279222488,2026-03-10 14:33:08.463277,2026-03-10 14:33:21.492947,0 days 00:00:13.029670,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,0.8096774193548387,48,COMPLETE
7,0.48711898922920227,2026-03-10 14:33:21.492947,2026-03-10 14:33:30.305228,0 days 00:00:08.812281,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.8451612903225806,49,COMPLETE
8,0.6647852212190628,2026-03-10 14:33:30.305228,2026-03-10 14:33:38.757756,0 days 00:00:08.452528,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.7677419354838709,50,COMPLETE
9,0.5414694994688034,2026-03-10 14:33:38.759759,2026-03-10 14:33:45.284486,0 days 00:00:06.524727,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.8258064516129031,51,COMPLETE
10,0.6177264451980591,2026-03-10 14:33:45.284486,2026-03-10 14:33:53.890384,0 days 00:00:08.605898,64,False,0.2062379198633824,192,0.0005126065261429245,2,0.0009044366299969405,0.7838709677419355,52,COMPLETE
11,0.45102357864379883,2026-03-10 14:33:53.891523,2026-03-10 14:33:59.529620,0 days 00:00:05.638097,64,False,0.49377826476798725,96,0.0009883225356402878,2,3.882202961037183e-05,0.7612903225806452,53,COMPLETE
12,0.6267088055610657,2026-03-10 14:33:59.529620,2026-03-10 14:34:05.251123,0 days 00:00:05.721503,64,False,0.4952507859992281,128,0.0010448165722647766,2,3.4196538382062763e-05,0.7709677419354839,54,COMPLETE
13,0.5666919946670532,2026-03-10 14:34:05.251123,2026-03-10 14:34:11.149179,0 days 00:00:05.898056,64,False,0.48479112088536463,64,0.0005813254449022788,3,0.0001940558118243939,0.7758064516129032,55,COMPLETE
14,0.5500262379646301,2026-03-10 14:34:11.149179,2026-03-10 14:34:17.187588,0 days 00:00:06.038409,64,True,0.30571026136602775,96,0.0011949945832068385,2,7.234755305829048e-05,0.796774193548387,56,COMPLETE
15,0.5142802596092224,2026-03-10 14:34:17.187588,2026-03-10 14:34:23.916622,0 days 00:00:06.729034,64,False,0.4647646356420055,192,0.000933012478491962,2,2.6354747293806716e-05,0.8225806451612903,57,COMPLETE
16,0.6367354989051819,2026-03-10 14:34:23.916622,2026-03-10 14:34:32.664086,0 days 00:00:08.747464,64,True,0.29896090268967634,192,0.0009342652187118856,2,0.0004894057592170779,0.7983870967741935,58,COMPLETE
17,0.5583249926567078,2026-03-10 14:34:32.665086,2026-03-10 14:34:38.421884,0 days 00:00:05.756798,64,False,0.5311149037830162,96,0.0006084322301520073,3,0.000188659419911584,0.8274193548387097,59,COMPLETE
18,0.4589270353317261,2026-03-10 14:34:38.421884,2026-03-10 14:34:44.694112,0 days 00:00:06.272228,64,True,0.4480595631138229,64,0.0012758848574793008,3,1.0074767637115357e-05,0.8112903225806452,60,COMPLETE
19,0.5368709564208984,2026-03-10 14:34:44.694112,2026-03-10 14:34:50.605655,0 days 00:00:05.911543,64,False,0.44941930198949653,64,0.0013651276916857172,3,1.0312357289622327e-05,0.8467741935483871,61,COMPLETE
20,0.5962141752243042,2026-03-10 14:34:50.605655,2026-03-10 14:34:56.491412,0 days 00:00:05.885757,64,False,0.5276269504938003,64,0.0012618889016637873,3,2.3260053624374046e-05,0.7419354838709677,62,COMPLETE
21,0.5543672442436218,2026-03-10 14:34:56.493415,2026-03-10 14:35:02.632438,0 days 00:00:06.139023,64,True,0.43158683059183756,64,0.001087138394028108,2,1.0108841277132807e-05,0.853225806451613,63,COMPLETE
22,0.5202805995941162,2026-03-10 14:35:02.632438,2026-03-10 14:35:11.339582,0 days 00:00:08.707144,64,True,0.3434121073776754,256,0.0016199346905158712,2,7.839997572607632e-05,0.8112903225806452,64,COMPLETE
23,0.5908395051956177,2026-03-10 14:35:11.339582,2026-03-10 14:35:17.277918,0 days 00:00:05.938336,64,True,0.2597754745728481,128,0.0008755961453650477,2,4.3399546558024536e-05,0.8322580645161289,65,COMPLETE
24,0.5209894776344299,2026-03-10 14:35:17.277918,2026-03-10 14:35:23.463748,0 days 00:00:06.185830,64,True,0.5028821829241599,64,0.0009596357078657146,3,1.8531045677445146e-05,0.7935483870967743,66,COMPLETE
25,0.5368938446044922,2026-03-10 14:35:23.463748,2026-03-10 14:35:32.404275,0 days 00:00:08.940527,64,True,0.41681656799058725,192,0.0006493324284170767,2,8.7349785900041e-05,0.853225806451613,67,COMPLETE
26,0.5322444438934326,2026-03-10 14:35:32.404275,2026-03-10 14:35:38.561318,0 days 00:00:06.157043,64,True,0.4578646232407066,96,0.001301211468714186,3,1.3797066729670299e-05,0.8032258064516129,68,COMPLETE
27,0.6303418874740601,2026-03-10 14:35:38.562395,2026-03-10 14:35:44.579527,0 days 00:00:06.017132,64,True,0.3402989430705706,96,0.0010115498726801495,2,0.0003351225415972943,0.8274193548387098,69,COMPLETE
28,0.663151204586029,2026-03-10 14:35:44.579527,2026-03-10 14:35:51.335269,0 days 00:00:06.755742,32,False,0.5445233783272225,64,0.000836892141063422,2,2.857433946915642e-05,0.7419354838709676,70,COMPLETE
29,0.5384241342544556,2026-03-10 14:35:51.337271,2026-03-10 14:35:57.344725,0 days 00:00:06.007454,64,False,0.3760975920640389,192,0.001072926225901116,1,0.0001934613764860456,0.7903225806451613,71,COMPLETE
30,0.6177194714546204,2026-03-10 14:35:57.344725,2026-03-10 14:36:04.834347,0 days 00:00:07.489622,32,True,0.43743988881547513,96,0.0016834224477921432,3,5.6325141160017615e-05,0.814516129032258,72,COMPLETE
31,0.48226720094680786,2026-03-10 14:36:04.834347,2026-03-10 14:36:11.569467,0 days 00:00:06.735120,64,False,0.46745929328260466,192,0.001152411434088693,2,2.726200269583825e-05,0.8048387096774193,73,COMPLETE
32,0.48570579290390015,2026-03-10 14:36:11.570467,2026-03-10 14:36:18.505586,0 days 00:00:06.935119,64,False,0.47705981557728655,192,0.0011793404846717232,2,3.4164211056194935e-05,0.8161290322580644,74,COMPLETE
33,0.5333644151687622,2026-03-10 14:36:18.505586,2026-03-10 14:36:25.444556,0 days 00:00:06.938970,64,False,0.47924741802229165,192,0.0012029849044563122,2,3.668162694244868e-05,0.8225806451612904,75,COMPLETE
34,0.48892632126808167,2026-03-10 14:36:25.451567,2026-03-10 14:36:32.590901,0 days 00:00:07.139334,64,False,0.5152122352812561,192,0.0011287051778018115,2,2.201085945524789e-05,0.8129032258064517,76,COMPLETE
35,0.5948546901345253,2026-03-10 14:36:32.590901,2026-03-10 14:36:41.114619,0 days 00:00:08.523718,16,False,0.413544872511078,128,0.0014240187908747051,1,1.3249952655827586e-05,0.8112903225806452,77,COMPLETE
36,0.609443873167038,2026-03-10 14:36:41.114619,2026-03-10 14:36:49.004552,0 days 00:00:07.889933,32,False,0.5662559428208076,256,0.0012858674345814663,1,5.9118038105291246e-05,0.7919354838709678,78,COMPLETE
37,0.49631908535957336,2026-03-10 14:36:49.004552,2026-03-10 14:36:55.776814,0 days 00:00:06.772262,64,False,0.47119962104228025,192,0.0011425124218892618,2,3.284110033111541e-05,0.8274193548387098,79,COMPLETE
38,0.575931504368782,2026-03-10 14:36:55.776814,2026-03-10 14:37:06.819392,0 days 00:00:11.042578,16,False,0.5509826405701695,192,0.0015140275809869023,2,1.7386665421891876e-05,0.8032258064516129,80,COMPLETE
39,0.6351943612098694,2026-03-10 14:37:06.819392,2026-03-10 14:37:12.534136,0 days 00:00:05.714744,64,False,0.5069163603895781,96,0.0007618863342839831,2,4.3632434862609204e-05,0.803225806451613,81,COMPLETE
40,0.5471275150775909,2026-03-10 14:37:12.534136,2026-03-10 14:37:21.681838,0 days 00:00:09.147702,32,False,0.40101352826923203,192,0.0010092846811897312,3,0.00012652491986081305,0.8096774193548386,82,COMPLETE
41,0.4940074384212494,2026-03-10 14:37:21.681838,2026-03-10 14:37:30.505832,0 days 00:00:08.823994,64,True,0.4372202148189685,192,0.0008859895437873893,2,0.00010252433121639193,0.8516129032258065,83,COMPLETE
42,0.6097669005393982,2026-03-10 14:37:30.505832,2026-03-10 14:37:39.313334,0 days 00:00:08.807502,64,True,0.2553589313598337,192,0.0008077972686939503,2,2.053428847022345e-05,0.7951612903225806,84,COMPLETE
43,0.5341775417327881,2026-03-10 14:37:39.313334,2026-03-10 14:37:46.035642,0 days 00:00:06.722308,64,False,0.4874252671074101,192,0.0011817758887131958,2,1.2957979441095338e-05,0.7887096774193548,85,COMPLETE
44,0.5543429404497147,2026-03-10 14:37:46.035642,2026-03-10 14:38:04.317400,0 days 00:00:18.281758,16,True,0.3861358619473855,256,0.0010874031204536746,2,0.0009937608082376786,0.8032258064516129,86,COMPLETE
45,0.5510084629058838,2026-03-10 14:38:04.317400,2026-03-10 14:38:10.005578,0 days 00:00:05.688178,64,False,0.4548219940262235,128,0.0007087778884751463,2,6.531307256376384e-05,0.7822580645161291,87,COMPLETE
46,0.5646008253097534,2026-03-10 14:38:10.005578,2026-03-10 14:38:15.787177,0 days 00:00:05.781599,64,True,0.4280998427268168,64,0.0013573430157937376,1,0.0006499453174690705,0.7951612903225806,88,COMPLETE
47,0.5951671600341797,2026-03-10 14:38:15.789180,2026-03-10 14:38:22.609144,0 days 00:00:06.819964,64,False,0.3506911285876728,192,0.0009669394608734491,2,2.7309599135322106e-05,0.8016129032258065,89,COMPLETE
48,0.5603715181350708,2026-03-10 14:38:22.609144,2026-03-10 14:38:28.340415,0 days 00:00:05.731271,64,False,0.5204621045221269,96,0.0012378197750946343,2,4.845944145285828e-05,0.7758064516129032,90,COMPLETE
