class,directoryname,directorypath,numclips,split
Normal,Normal_007,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_007,61,train
Normal,Normal_008,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_008,160,train
Normal,Normal_012,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_012,146,train
Normal,Normal_020,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_020,30,train
Normal,Normal_021,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_021,122,train
Normal,Normal_023,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_023,110,train
Normal,Normal_032,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_032,52,train
Normal,Normal_039,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_039,112,train
Normal,Normal_043,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_043,108,train
Normal,Normal_047,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_047,180,train
Normal,Normal_054,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_054,123,train
Normal,Normal_057,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_057,180,train
Normal,Normal_058,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_058,61,train
Normal,Normal_061,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_061,180,train
Normal,Normal_064,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_064,123,train
Normal,Normal_066,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_066,63,train
Normal,Normal_069,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_069,57,train
Normal,Normal_080,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_080,124,train
Normal,Normal_083,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_083,36,train
Normal,Normal_085,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_085,180,train
Normal,Normal_086,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_086,180,train
Normal,Normal_092,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_092,112,train
Normal,Normal_096,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_096,48,train
Normal,Normal_099,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_099,129,train
Normal,Normal_100,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_100,39,train
Normal,Normal_115,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_115,18,train
Normal,Normal_130,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_130,180,train
Normal,Normal_135,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_135,111,train
Normal,Normal_142,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_142,116,train
Normal,Normal_143,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_143,111,train
Normal,Normal_144,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_144,180,train
Normal,Normal_150,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_150,54,train
Normal,Normal_152,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_152,180,train
Normal,Normal_158,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_158,33,train
Normal,Normal_162,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_162,73,train
Normal,Normal_163,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_163,180,train
Normal,Normal_172,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_172,180,train
Normal,Normal_173,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_173,37,train
Normal,Normal_174,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_174,57,train
Normal,Normal_181,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_181,180,train
Normal,Normal_199,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_199,180,train
Normal,Normal_205,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_205,180,train
Normal,Normal_206,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_206,180,train
Normal,Normal_213,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_213,111,train
Normal,Normal_214,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_214,180,train
Normal,Normal_237,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_237,107,train
Normal,Normal_239,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_239,180,train
Normal,Normal_247,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_247,180,train
Normal,Normal_255,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_255,180,train
Normal,Normal_289,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_289,53,train
Normal,Normal_299,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_299,88,train
Normal,Normal_303,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_303,180,train
Normal,Normal_305,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_305,159,train
