number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.2606613412499428,2026-03-27 14:31:22.251652,2026-03-27 14:31:29.046593,0 days 00:00:06.794941,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.9596774193548387,COMPLETE
1,0.4420558735728264,2026-03-27 14:31:29.046593,2026-03-27 14:31:37.145548,0 days 00:00:08.098955,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.9274193548387097,COMPLETE
2,0.3276181196173032,2026-03-27 14:31:37.145548,2026-03-27 14:31:47.232536,0 days 00:00:10.086988,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.939516129032258,COMPLETE
3,0.3634425053993861,2026-03-27 14:31:47.232536,2026-03-27 14:31:56.421537,0 days 00:00:09.189001,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.9173387096774194,COMPLETE
4,0.3588387817144394,2026-03-27 14:31:56.421537,2026-03-27 14:32:05.192748,0 days 00:00:08.771211,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.9193548387096775,COMPLETE
5,0.38216764231522876,2026-03-27 14:32:05.192748,2026-03-27 14:32:23.400325,0 days 00:00:18.207577,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.9213709677419355,COMPLETE
6,0.3848298986752828,2026-03-27 14:32:23.402263,2026-03-27 14:32:36.647046,0 days 00:00:13.244783,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,0.9213709677419355,COMPLETE
7,0.3187744915485382,2026-03-27 14:32:36.647046,2026-03-27 14:32:45.424461,0 days 00:00:08.777415,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.9193548387096775,COMPLETE
8,0.255924920241038,2026-03-27 14:32:45.424461,2026-03-27 14:32:53.931390,0 days 00:00:08.506929,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.9435483870967741,COMPLETE
9,0.3153834491968155,2026-03-27 14:32:53.941520,2026-03-27 14:33:00.505068,0 days 00:00:06.563548,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.9455645161290323,COMPLETE
10,0.4896475374698639,2026-03-27 14:33:00.514928,2026-03-27 14:33:01.726789,0 days 00:00:01.211861,64,False,0.4911632730863661,64,0.0005126065261429245,2,0.0009275780771398699,,PRUNED
11,0.24505095928907394,2026-03-27 14:33:01.726789,2026-03-27 14:33:08.411627,0 days 00:00:06.684838,32,False,0.30896138585841176,64,0.0012367370223067419,1,0.0008241859037137336,0.965725806451613,COMPLETE
12,0.31164533148209256,2026-03-27 14:33:08.411627,2026-03-27 14:33:16.829993,0 days 00:00:08.418366,16,False,0.32512143173371116,64,0.0013067238743275,1,0.0008433143260407514,0.903225806451613,COMPLETE
13,0.2804582491517067,2026-03-27 14:33:16.829993,2026-03-27 14:33:23.534222,0 days 00:00:06.704229,32,False,0.4611719000163913,64,0.0015105349228157572,1,0.0005612936607224928,0.9596774193548386,COMPLETE
14,0.3643980622291565,2026-03-27 14:33:23.534222,2026-03-27 14:33:29.509227,0 days 00:00:05.975005,64,True,0.33802937553291545,64,0.0010741895819540996,2,0.0004877769243412804,0.9314516129032259,COMPLETE
15,0.27261599401632947,2026-03-27 14:33:29.519316,2026-03-27 14:33:37.903909,0 days 00:00:08.384593,16,False,0.4479429616654272,64,0.0016222515289476725,1,0.0002108523071641334,0.9475806451612903,COMPLETE
16,0.4009067863225937,2026-03-27 14:33:37.903909,2026-03-27 14:33:44.538822,0 days 00:00:06.634913,32,True,0.20439567569750852,128,0.0012466506288334024,1,0.000987318718989623,0.9173387096774193,COMPLETE
17,0.482887826859951,2026-03-27 14:33:44.539897,2026-03-27 14:33:46.023145,0 days 00:00:01.483248,32,False,0.29993999124236,64,0.0009201943501992841,3,0.0005844765217999717,,PRUNED
18,0.32578494027256966,2026-03-27 14:33:46.023145,2026-03-27 14:33:54.719190,0 days 00:00:08.696045,16,True,0.35899770058719666,64,0.001696654037265792,1,7.220173179934987e-05,0.9415322580645161,COMPLETE
19,0.33273836970329285,2026-03-27 14:33:54.719190,2026-03-27 14:34:00.494707,0 days 00:00:05.775517,64,False,0.2564064841299558,64,0.0005939845052564806,2,0.00017904319826816606,0.9233870967741936,COMPLETE
20,0.363414724667867,2026-03-27 14:34:00.494707,2026-03-27 14:34:18.336221,0 days 00:00:17.841514,16,True,0.5276269504938003,256,0.0013750490266196678,2,2.9880920724717516e-05,0.9012096774193548,COMPLETE
21,0.22699715942144394,2026-03-27 14:34:18.336221,2026-03-27 14:34:24.841792,0 days 00:00:06.505571,32,False,0.2805454483691531,96,0.0010803581988912195,1,0.00032476202831542464,0.9637096774193548,COMPLETE
22,0.2372351586818695,2026-03-27 14:34:24.841792,2026-03-27 14:34:31.319176,0 days 00:00:06.477384,32,False,0.3119485242401535,96,0.0010205477118736385,1,0.00043813756521491053,0.9536290322580645,COMPLETE
23,0.359711229801178,2026-03-27 14:34:31.319176,2026-03-27 14:34:37.967322,0 days 00:00:06.648146,32,False,0.3111840499385248,96,0.0010243474372988758,1,0.0004650194406199498,0.935483870967742,COMPLETE
24,0.2974710762500763,2026-03-27 14:34:37.968388,2026-03-27 14:34:44.945027,0 days 00:00:06.976639,32,False,0.24087950931604862,96,0.0011676077495233748,1,0.00031688659130341563,0.9717741935483871,COMPLETE
25,0.3534476161003113,2026-03-27 14:34:44.945027,2026-03-27 14:34:52.070611,0 days 00:00:07.125584,32,False,0.2803353578609865,96,0.0009722612158401069,1,0.00017945911603453957,0.9455645161290321,COMPLETE
26,0.31139911711215973,2026-03-27 14:34:52.070611,2026-03-27 14:34:59.163710,0 days 00:00:07.093099,32,False,0.33622493252211966,96,0.001092359167975164,1,0.00038491711823574165,0.9576612903225806,COMPLETE
27,0.3161584883928299,2026-03-27 14:34:59.165714,2026-03-27 14:35:05.724513,0 days 00:00:06.558799,32,False,0.41812857280775395,96,0.0012739816378624647,1,0.0007425189026685382,0.9576612903225806,COMPLETE
28,0.4170006662607193,2026-03-27 14:35:05.724513,2026-03-27 14:35:12.214542,0 days 00:00:06.490029,32,False,0.21202358405018545,128,0.0009624792867486775,2,9.928046861773535e-05,0.9274193548387097,COMPLETE
29,0.3475344330072403,2026-03-27 14:35:12.214542,2026-03-27 14:35:18.820555,0 days 00:00:06.606013,32,False,0.2835617609925956,96,0.0011829926351573216,1,0.00020588077649599825,0.9495967741935484,COMPLETE
30,0.3340260982513428,2026-03-27 14:35:18.820555,2026-03-27 14:35:25.404843,0 days 00:00:06.584288,32,False,0.2983342820289021,96,0.0008561983110024028,1,0.00025155325731313234,0.9314516129032259,COMPLETE
31,0.2587894797325134,2026-03-27 14:35:25.404843,2026-03-27 14:35:32.141207,0 days 00:00:06.736364,32,False,0.3734822137738527,64,0.0015661232060256679,1,0.0006563868613918735,0.9455645161290323,COMPLETE
32,0.3062003403902054,2026-03-27 14:35:32.143869,2026-03-27 14:35:39.159420,0 days 00:00:07.015551,32,False,0.35628341406651237,192,0.0014014482121284852,1,0.0004536494277049167,0.9254032258064516,COMPLETE
