clip_id,mean_loss,max_loss,conf_error,error_freq,cls,split,video_id,rule_high_loss,rule_conf_error,rule_error_freq,n_rules_triggered,decision
Robbery_007,3.0008209088574285,5.34710168838501,1.0,0.2608695652173913,Robbery,val,Robbery_007,True,True,False,2,filter
Robbery_069,2.9073283050371255,5.39689302444458,1.0,0.2608695652173913,Robbery,val,Robbery_069,True,True,False,2,filter
Robbery_137,2.3786761652192343,5.267671585083008,1.0,0.2608695652173913,Robbery,val,Robbery_137,True,True,False,2,filter
Robbery_085,2.3502159560828106,5.342101097106934,1.0,0.2608695652173913,Robbery,val,Robbery_085,True,True,False,2,filter
Robbery_129,2.322887983901993,5.008486270904541,1.0,0.2608695652173913,Robbery,val,Robbery_129,True,True,False,2,filter
Robbery_075,1.7034378540499702,4.92322301864624,1.0,0.2608695652173913,Robbery,val,Robbery_075,True,True,False,2,filter
Normal_570,1.3921856146467768,5.031633377075195,1.0,0.2608695652173913,Normal,val,Normal_570,True,True,False,2,filter
Robbery_018,1.2763681335820127,4.769749164581299,1.0,0.2608695652173913,Robbery,val,Robbery_018,True,True,False,2,filter
Robbery_109,1.2647963805913762,5.23820686340332,1.0,0.2608695652173913,Robbery,val,Robbery_109,True,True,False,2,filter
Robbery_146,1.040827220649985,4.28209924697876,1.0,0.2608695652173913,Robbery,val,Robbery_146,True,True,False,2,filter
Normal_046,1.039114505983889,4.9108476638793945,1.0,0.2608695652173913,Normal,val,Normal_046,True,True,False,2,filter
Normal_145,0.7219922441948691,5.272012233734131,1.0,0.2608695652173913,Normal,val,Normal_145,True,True,False,2,filter
Robbery_005,0.7163006448510872,3.974473237991333,1.0,0.2608695652173913,Robbery,val,Robbery_005,True,True,False,2,filter
